Region,MinValue,MaxValue,AverageValue,MedianValue,StdDev
East Asia & Pacific,5.61076766078296,27.8011105999282,10.749168045112128,8.78794612373967,5.61968424878595
Europe & Central Asia,2.56735094808518,20.9491292484964,10.46400525819331,10.44470342644255,3.9178919327903285
Latin America & Caribbean,2.00613213814739,21.2038495823144,11.465236234741646,11.20389150277865,4.794181923047788
Middle East & North Africa,4.8225034441193,19.2781510730785,9.67122654256078,9.65857871354278,3.710112068140074
North America,5.79318650333884,7.90870385069669,6.850945177017765,6.850945177017765,1.4958966620345124
South Asia,6.78379071090891,21.8363053072406,12.148661734165369,9.20963505251298,6.187800086004109
Sub-Saharan Africa,2.18261268903057,22.5424273452835,9.059133045634088,7.413949018621195,5.357620004606367
