Region,MinValue,MaxValue,MedianValue,StdDev
East Asia & Pacific,5.61076766078122,27.8011105999282,8.787819682664,5.622746066186912
Europe & Central Asia,2.55160110425415,20.2298829953543,10.4447034264426,3.854574579422321
Latin America & Caribbean,2.00613213814739,21.2038647179359,11.2038939811568,4.78251479814374
Middle East & North Africa,4.8225034441193,19.2781511768525,9.79504253327181,3.6913144879107462
North America,5.79318650333884,7.90870385069669,6.850945177017765,1.4958966620345124
South Asia,5.96948461463209,21.8363053072406,9.20963505251298,6.372269013312877
Sub-Saharan Africa,2.18261268903057,22.5424273452835,7.413949018621195,5.439986715237662
